"","PD04705XD"
05Mar02,23.17
06Mar02,23.15
07Mar02,23.71
08Mar02,23.84
11Mar02,24.31
12Mar02,24.2
13Mar02,24.16
14Mar02,24.56
15Mar02,24.51
18Mar02,25.11
19Mar02,24.88
20Mar02,24.9
21Mar02,25.44
22Mar02,24.9
25Mar02,24.31
26Mar02,25.36
27Mar02,25.87
28Mar02,26.31
29Mar02,n.d.
01Abr02,26.88
02Abr02,27.71
03Abr02,27.56
04Abr02,26.58
05Abr02,26.21
08Abr02,26.54
09Abr02,25.82
10Abr02,26.13
11Abr02,24.99
12Abr02,23.47
15Abr02,24.57
16Abr02,24.75
17Abr02,25.94
18Abr02,26.18
19Abr02,26.38
22Abr02,26.27
23Abr02,26.57
24Abr02,26.25
25Abr02,26.58
26Abr02,27.11
29Abr02,27.14
30Abr02,27.16
01May02,26.75
02May02,26.24
03May02,26.62
06May02,26.12
07May02,26.63
08May02,27.85
09May02,27.68
10May02,27.99
13May02,28.4
14May02,29.42
15May02,28.18
16May02,27.98
17May02,28.22
20May02,28.37
21May02,27.33
22May02,26.82
23May02,26.59
24May02,26.78
27May02,n.d.
28May02,25.27
29May02,25.76
30May02,24.67
31May02,25.31
03Jun02,25.08
04Jun02,25.33
05Jun02,24.89
06Jun02,24.79
07Jun02,24.75
10Jun02,24.29
11Jun02,24.12
12Jun02,24.64
13Jun02,25.65
14Jun02,25.94
17Jun02,26.09
18Jun02,25.43
19Jun02,25.31
20Jun02,25.6
21Jun02,25.52
24Jun02,26.19
25Jun02,26.07
26Jun02,26.76
27Jun02,26.86
28Jun02,26.86
01Jul02,26.81
02Jul02,26.77
03Jul02,26.8
04Jul02,n.d.
05Jul02,n.d.
08Jul02,26.07
09Jul02,26.09
10Jul02,26.77
11Jul02,26.83
12Jul02,27.48
15Jul02,27.07
16Jul02,27.75
17Jul02,27.88
18Jul02,27.57
19Jul02,27.83
22Jul02,26.6
23Jul02,26.2
24Jul02,26.69
25Jul02,26.72
26Jul02,26.54
29Jul02,26.55
30Jul02,27.36
31Jul02,27.02
01Ago02,26.47
02Ago02,26.84
05Ago02,26.58
06Ago02,27.17
07Ago02,26.5
08Ago02,26.67
09Ago02,26.86
12Ago02,27.86
13Ago02,27.9
14Ago02,28.15
15Ago02,29.06
16Ago02,29.33
19Ago02,29.84
20Ago02,30.11
21Ago02,30.39
22Ago02,30.14
23Ago02,29.93
26Ago02,29.28
27Ago02,28.83
28Ago02,28.34
29Ago02,28.92
30Ago02,28.98
02Set02,n.d.
03Set02,27.79
04Set02,28.27
05Set02,28.98
06Set02,29.61
09Set02,29.73
10Set02,29.73
11Set02,29.77
12Set02,28.85
13Set02,29.81
16Set02,29.67
17Set02,29.08
18Set02,29.48
19Set02,29.5
20Set02,29.61
23Set02,30.71
24Set02,30.77
25Set02,30.64
26Set02,30.41
27Set02,30.54
30Set02,30.45
01Oct02,30.83
02Oct02,30.49
03Oct02,29.76
04Oct02,29.62
07Oct02,29.64
08Oct02,29.48
09Oct02,29.35
10Oct02,28.97
11Oct02,29.37
14Oct02,30.03
15Oct02,29.72
16Oct02,29.47
17Oct02,29.62
18Oct02,29.6
21Oct02,28.37
22Oct02,27.92
23Oct02,28.05
24Oct02,28.05
25Oct02,27.05
28Oct02,27.29
29Oct02,26.86
30Oct02,26.81
31Oct02,27.22
01Nov02,27.13
04Nov02,26.95
05Nov02,26.14
06Nov02,25.77
07Nov02,25.38
08Nov02,25.78
11Nov02,25.94
12Nov02,25.9
13Nov02,25.19
14Nov02,25.29
15Nov02,25.51
18Nov02,26.71
19Nov02,26.42
20Nov02,26.98
21Nov02,27.3
22Nov02,27.67
25Nov02,26.03
26Nov02,26.4
27Nov02,26.89
28Nov02,n.d.
29Nov02,n.d.
02Dic02,27.24
03Dic02,27.3
04Dic02,26.71
05Dic02,27.29
06Dic02,26.93
09Dic02,27.2
10Dic02,27.74
11Dic02,27.4
12Dic02,28.01
13Dic02,28.44
16Dic02,30.1
17Dic02,30.1
18Dic02,30.44
19Dic02,30.56
20Dic02,30.6
23Dic02,32.1
24Dic02,32.21
25Dic02,n.d.
26Dic02,32.49
27Dic02,32.72
30Dic02,31.37
31Dic02,31.2
01Ene03,n.d.
02Ene03,31.85
03Ene03,33.08
06Ene03,32.1
07Ene03,31.08
08Ene03,30.56
09Ene03,31.99
10Ene03,31.68
13Ene03,32.26
14Ene03,32.37
15Ene03,33.21
16Ene03,33.66
17Ene03,33.91
20Ene03,n.d.
21Ene03,34.61
22Ene03,34.5
23Ene03,34.05
24Ene03,35.08
27Ene03,32.29
28Ene03,32.67
29Ene03,33.63
30Ene03,33.85
31Ene03,33.51
03Feb03,32.76
04Feb03,33.58
05Feb03,33.93
06Feb03,34.16
07Feb03,35.12
10Feb03,34.48
11Feb03,35.44
12Feb03,35.77
13Feb03,36.36
14Feb03,36.8
17Feb03,n.d.
18Feb03,36.96
19Feb03,37.16
20Feb03,36.79
21Feb03,36.78
24Feb03,36.7
25Feb03,35.96
26Feb03,37.7
27Feb03,37.2
28Feb03,36.6
03Mar03,35.88
04Mar03,36.89
05Mar03,36.69
06Mar03,37
07Mar03,37.78
10Mar03,37.27
11Mar03,36.72
12Mar03,37.83
13Mar03,36.01
14Mar03,35.38
17Mar03,34.93
18Mar03,31.67
19Mar03,29.88
20Mar03,28.61
21Mar03,27.36
24Mar03,29.56
25Mar03,29.97
26Mar03,28.63
27Mar03,30.37
28Mar03,30.16
31Mar03,31.04
01Abr03,29.78
02Abr03,28.56
03Abr03,28.97
04Abr03,28.62
07Abr03,27.96
08Abr03,28
09Abr03,28.85
10Abr03,27.46
11Abr03,28.14
14Abr03,28.63
15Abr03,29.29
16Abr03,29.2
17Abr03,30.57
18Abr03,n.d.
21Abr03,30.88
22Abr03,29.91
23Abr03,28
24Abr03,26.94
25Abr03,26.36
28Abr03,25.49
29Abr03,25.24
30Abr03,25.8
01May03,26.03
02May03,25.67
05May03,26.49
06May03,25.72
07May03,26.23
08May03,26.98
09May03,27.72
12May03,27.35
13May03,28.5
14May03,29.17
15May03,28.74
16May03,29.14
19May03,28.83
20May03,29.28
21May03,29.53
22May03,29.15
23May03,29.66
26May03,n.d.
27May03,29.35
28May03,28.58
29May03,29.1
30May03,29.56
02Jun03,30.71
03Jun03,30.67
04Jun03,30.05
05Jun03,30.74
06Jun03,31.28
09Jun03,31.45
10Jun03,31.73
11Jun03,32.36
12Jun03,31.51
13Jun03,30.65
16Jun03,31.18
17Jun03,31.07
18Jun03,30.36
19Jun03,29.96
20Jun03,30.82
23Jun03,30.32
24Jun03,30.23
25Jun03,31.35
26Jun03,29.01
27Jun03,29.27
30Jun03,30.19
01Jul03,30.4
02Jul03,30.15
03Jul03,30.42
04Jul03,n.d.
07Jul03,30.13
08Jul03,30.22
09Jul03,30.88
10Jul03,31.06
11Jul03,31.28
14Jul03,31.27
15Jul03,31.62
16Jul03,31.05
17Jul03,31.41
18Jul03,31.96
21Jul03,31.78
22Jul03,30.19
23Jul03,30.09
24Jul03,30.57
25Jul03,30.42
28Jul03,30.11
29Jul03,30.24
30Jul03,30.68
31Jul03,30.54
01Ago03,32.31
04Ago03,31.84
05Ago03,32.22
06Ago03,31.7
07Ago03,32.39
08Ago03,32.18
11Ago03,32.01
12Ago03,31.92
13Ago03,30.78
14Ago03,31.09
15Ago03,31.05
18Ago03,30.89
19Ago03,30.7
20Ago03,30.95
21Ago03,31.76
22Ago03,31.76
25Ago03,31.48
26Ago03,31.95
27Ago03,31.21
28Ago03,31.5
29Ago03,31.57
01Set03,n.d.
02Set03,29.41
03Set03,29.49
04Set03,28.98
05Set03,28.88
08Set03,28.85
09Set03,29.18
10Set03,29.35
11Set03,28.82
12Set03,28.27
15Set03,28.14
16Set03,27.56
17Set03,27.03
18Set03,27.17
19Set03,27.03
22Set03,26.96
23Set03,26.93
24Set03,28.05
25Set03,28.1
26Set03,28.16
29Set03,28.4
30Set03,29.2
01Oct03,29.39
02Oct03,29.84
03Oct03,30.4
06Oct03,30.47
07Oct03,30.41
08Oct03,29.81
09Oct03,31.01
10Oct03,31.97
13Oct03,31.95
14Oct03,31.82
15Oct03,31.77
16Oct03,31.54
17Oct03,30.68
20Oct03,30.35
21Oct03,30.18
22Oct03,29.74
23Oct03,30.12
24Oct03,29.98
27Oct03,29.92
28Oct03,29.56
29Oct03,28.91
30Oct03,28.47
31Oct03,28.75
03Nov03,28.9
04Nov03,28.75
05Nov03,30.3
06Nov03,30.26
07Nov03,30.85
10Nov03,30.88
11Nov03,31.15
12Nov03,31.33
13Nov03,31.9
14Nov03,32.37
17Nov03,31.73
18Nov03,33.28
19Nov03,32.92
20Nov03,32.86
21Nov03,32.11
24Nov03,29.89
25Nov03,29.77
26Nov03,30.41
27Nov03,n.d.
28Nov03,n.d.
01Dic03,29.95
02Dic03,30.78
03Dic03,31.1
04Dic03,31.26
05Dic03,30.73
08Dic03,32.1
09Dic03,31.76
10Dic03,31.88
11Dic03,31.85
12Dic03,33.04
15Dic03,33.18
16Dic03,32.89
17Dic03,33.35
18Dic03,33.71
19Dic03,33.02
22Dic03,31.72
23Dic03,31.8
24Dic03,32.85
25Dic03,n.d.
26Dic03,n.d.
29Dic03,32.4
30Dic03,32.79
31Dic03,32.52
01Ene04,n.d.
02Ene04,n.d.
05Ene04,33.78
06Ene04,33.7
07Ene04,33.62
08Ene04,33.98
09Ene04,34.31
12Ene04,34.72
13Ene04,34.43
14Ene04,34.5
15Ene04,33.44
16Ene04,35.07
19Ene04,n.d.
20Ene04,36.2
21Ene04,34.88
22Ene04,34.88
23Ene04,35.04
26Ene04,34.47
27Ene04,34.12
28Ene04,33.62
29Ene04,32.81
30Ene04,33.05
02Feb04,34.98
03Feb04,34.1
04Feb04,33.1
05Feb04,33.08
06Feb04,32.48
09Feb04,32.83
10Feb04,33.87
11Feb04,34
12Feb04,33.98
13Feb04,34.56
16Feb04,n.d.
17Feb04,35.19
18Feb04,35.45
19Feb04,36
20Feb04,35.6
23Feb04,35.57
24Feb04,36.03
25Feb04,37.38
26Feb04,35.51
27Feb04,36.16
01Mar04,36.86
02Mar04,36.66
03Mar04,35.8
04Mar04,36.64
05Mar04,37.26
08Mar04,36.57
09Mar04,36.28
10Mar04,36.1
11Mar04,36.78
12Mar04,36.19
15Mar04,37.44
16Mar04,37.48
17Mar04,38.18
18Mar04,37.93
19Mar04,38.08
22Mar04,37.11
23Mar04,37.65
24Mar04,37.16
25Mar04,35.46
26Mar04,35.73
29Mar04,35.45
30Mar04,36.25
31Mar04,35.76
01Abr04,34.27
02Abr04,34.39
05Abr04,34.38
06Abr04,34.97
07Abr04,36.15
08Abr04,37.14
09Abr04,n.d.
12Abr04,37.84
13Abr04,37.21
14Abr04,36.72
15Abr04,37.57
16Abr04,37.74
19Abr04,37.42
20Abr04,37.6
21Abr04,36.58
22Abr04,37.46
23Abr04,37.06
26Abr04,36.97
27Abr04,37.53
28Abr04,37.46
29Abr04,37.31
30Abr04,37.38
03May04,38.21
04May04,38.98
05May04,39.57
06May04,39.37
07May04,39.93
10May04,38.93
11May04,40.06
12May04,40.77
13May04,41.08
14May04,41.38
17May04,41.55
18May04,40.54
19May04,41.5
20May04,40.92
21May04,39.93
24May04,41.77
25May04,41.14
26May04,40.7
27May04,39.44
28May04,39.88
31May04,n.d.
01Jun04,42.33
02Jun04,39.96
03Jun04,39.28
04Jun04,38.49
07Jun04,38.66
08Jun04,37.28
09Jun04,37.54
10Jun04,38.45
11Jun04,n.d.
14Jun04,37.59
15Jun04,37.19
16Jun04,37.32
17Jun04,38.46
18Jun04,38.75
21Jun04,37.63
22Jun04,38.11
23Jun04,37.44
24Jun04,37.8
25Jun04,37.42
28Jun04,36.24
29Jun04,35.66
30Jun04,37.05
01Jul04,38.74
02Jul04,38.39
05Jul04,n.d.
06Jul04,39.65
07Jul04,39.08
08Jul04,40.33
09Jul04,39.96
12Jul04,39.5
13Jul04,39.44
14Jul04,40.97
15Jul04,40.77
16Jul04,41.25
19Jul04,41.64
20Jul04,40.75
21Jul04,40.73
22Jul04,41.46
23Jul04,41.76
26Jul04,41.44
27Jul04,41.84
28Jul04,42.9
29Jul04,42.75
30Jul04,43.8
02Ago04,43.82
03Ago04,44.15
04Ago04,42.83
05Ago04,44.41
06Ago04,43.95
09Ago04,44.84
10Ago04,44.52
11Ago04,44.8
12Ago04,45.5
13Ago04,46.58
16Ago04,46.05
17Ago04,46.75
18Ago04,47.27
19Ago04,48.7
20Ago04,47.86
23Ago04,46.55
24Ago04,45.59
25Ago04,43.47
26Ago04,43.1
27Ago04,43.18
30Ago04,42.28
31Ago04,42.12
01Set04,44
02Set04,44.06
03Set04,43.99
06Set04,n.d.
07Set04,43.31
08Set04,42.77
09Set04,44.61
10Set04,42.81
13Set04,43.87
14Set04,44.39
15Set04,43.58
16Set04,43.88
17Set04,45.59
20Set04,46.35
21Set04,47.1
22Set04,48.35
23Set04,48.36
24Set04,48.83
27Set04,49.64
28Set04,49.9
29Set04,49.51
30Set04,49.64
01Oct04,50.12
04Oct04,49.91
05Oct04,51.09
06Oct04,52.02
07Oct04,52.67
08Oct04,53.31
11Oct04,53.64
12Oct04,52.51
13Oct04,53.64
14Oct04,54.76
15Oct04,54.93
18Oct04,53.67
19Oct04,53.29
20Oct04,54.92
21Oct04,55.27
22Oct04,56.17
25Oct04,55.94
26Oct04,55.17
27Oct04,52.46
28Oct04,50.92
29Oct04,51.76
01Nov04,50.13
02Nov04,49.62
03Nov04,50.88
04Nov04,48.82
05Nov04,49.61
08Nov04,49.09
09Nov04,47.37
10Nov04,48.86
11Nov04,47.42
12Nov04,47.32
15Nov04,46.87
16Nov04,46.11
17Nov04,46.84
18Nov04,46.22
19Nov04,48.44
22Nov04,48.44
23Nov04,48.74
24Nov04,49.26
25Nov04,n.d.
26Nov04,n.d.
29Nov04,49.76
30Nov04,49.13
01Dic04,45.49
02Dic04,43.25
03Dic04,42.54
06Dic04,42.98
07Dic04,41.46
08Dic04,41.94
09Dic04,42.53
10Dic04,40.71
13Dic04,41.01
14Dic04,41.82
15Dic04,44.19
16Dic04,44.18
17Dic04,46.28
20Dic04,45.64
21Dic04,45.54
22Dic04,44.04
23Dic04,44.03
24Dic04,n.d.
27Dic04,41.32
28Dic04,41.77
29Dic04,43.64
30Dic04,43.45
31Dic04,n.d.
03Ene05,42.12
04Ene05,43.91
05Ene05,43.39
06Ene05,45.56
07Ene05,45.43
10Ene05,45.33
11Ene05,45.68
12Ene05,46.37
13Ene05,48.04
14Ene05,48.38
17Ene05,n.d.
18Ene05,48.38
19Ene05,47.55
20Ene05,46.91
21Ene05,48.33
24Ene05,48.61
25Ene05,49.41
26Ene05,48.78
27Ene05,48.84
28Ene05,47.18
31Ene05,46.85
01Feb05,47.12
02Feb05,46.69
03Feb05,46.45
04Feb05,46.48
07Feb05,45.28
08Feb05,45.4
09Feb05,45.46
10Feb05,47.1
11Feb05,47.16
14Feb05,47.44
15Feb05,47.26
16Feb05,48.33
17Feb05,47.54
18Feb05,48.35
21Feb05,n.d.
22Feb05,51.15
23Feb05,50.67
24Feb05,50.74
25Feb05,50.92
28Feb05,51.75
01Mar05,51.68
02Mar05,53.05
03Mar05,53.57
04Mar05,53.78
07Mar05,53.89
08Mar05,54.59
09Mar05,54.77
10Mar05,53.54
11Mar05,54.43
14Mar05,54.95
15Mar05,55.05
16Mar05,56.46
17Mar05,56.4
18Mar05,56.72
21Mar05,56.62
22Mar05,54.28
23Mar05,48.96
24Mar05,51.29
25Mar05,n.d.
28Mar05,54.05
29Mar05,54.23
30Mar05,53.99
31Mar05,55.4
01Abr05,57.27
04Abr05,57.01
05Abr05,56.04
06Abr05,55.85
07Abr05,54.11
08Abr05,53.32
11Abr05,53.71
12Abr05,51.86
13Abr05,50.22
14Abr05,51.13
15Abr05,50.49
18Abr05,50.37
19Abr05,52.29
20Abr05,52.44
21Abr05,52.35
22Abr05,54.39
25Abr05,52.07
26Abr05,54.2
27Abr05,51.61
28Abr05,51.77
29Abr05,49.72
02May05,50.92
03May05,49.5
04May05,50.13
05May05,50.83
06May05,50.96
09May05,52.03
10May05,52.07
11May05,50.45
12May05,48.54
13May05,48.67
16May05,48.61
17May05,48.97
18May05,47.25
19May05,47.6
20May05,46.8
23May05,48.66
24May05,49.17
25May05,50.78
26May05,51.01
27May05,51.85
30May05,n.d.
31May05,51.97
01Jun05,54.6
02Jun05,53.63
03Jun05,55.03
06Jun05,54.49
07Jun05,53.76
08Jun05,52.54
09Jun05,54.28
10Jun05,53.54
13Jun05,55.62
14Jun05,55
15Jun05,55.57
16Jun05,56.58
17Jun05,58.47
20Jun05,59.37
21Jun05,58.9
22Jun05,57.84
23Jun05,59.2
24Jun05,59.64
27Jun05,60.54
28Jun05,58.2
29Jun05,57.26
30Jun05,56.5
01Jul05,58.75
04Jul05,n.d.
05Jul05,59.59
06Jul05,61.28
07Jul05,60.73
08Jul05,60.7
11Jul05,58.92
12Jul05,60.62
13Jul05,n.d.
14Jul05,n.d.
15Jul05,58.09
18Jul05,57.32
19Jul05,57.46
20Jul05,56.72
21Jul05,54.93
22Jul05,56.65
25Jul05,56
26Jul05,59.2
27Jul05,59.11
28Jul05,59.94
29Jul05,60.57
01Ago05,61.6
02Ago05,61.89
03Ago05,60.86
04Ago05,61.38
05Ago05,62.31
08Ago05,63.94
09Ago05,63.07
10Ago05,64.9
11Ago05,65.8
12Ago05,66.86
15Ago05,66.27
16Ago05,66.08
17Ago05,63.25
18Ago05,63.27
19Ago05,65.35
22Ago05,65.45
23Ago05,65.31
24Ago05,67.05
25Ago05,67.29
26Ago05,66.13
29Ago05,67.2
30Ago05,69.81
31Ago05,68.94
01Set05,69.47
02Set05,67.57
05Set05,n.d.
06Set05,65.96
07Set05,64.37
08Set05,64.49
09Set05,64.08
12Set05,63.34
13Set05,63.11
14Set05,65.09
15Set05,64.75
16Set05,63
19Set05,67.39
20Set05,66.23
21Set05,66.63
22Set05,66.46
23Set05,64.09
26Set05,65.82
27Set05,65.07
28Set05,66.35
29Set05,66.79
30Set05,66.24
03Oct05,65.47
04Oct05,63.9
05Oct05,62.79
06Oct05,61.36
07Oct05,61.84
10Oct05,61.8
11Oct05,63.53
12Oct05,64.12
13Oct05,63.08
14Oct05,62.63
17Oct05,64.36
18Oct05,63.83
19Oct05,63
20Oct05,61.03
21Oct05,61.23
24Oct05,61.12
25Oct05,63.04
26Oct05,60.66
27Oct05,61.09
28Oct05,61.22
31Oct05,59.76
01Nov05,59.85
02Nov05,59.75
03Nov05,61.78
04Nov05,60.58
07Nov05,59.47
08Nov05,59.71
09Nov05,58.93
10Nov05,57.8
11Nov05,57.53
14Nov05,57.69
15Nov05,56.98
16Nov05,57.88
17Nov05,56.34
18Nov05,56.14
21Nov05,57.25
22Nov05,58.34
23Nov05,58.46
24Nov05,n.d.
25Nov05,n.d.
28Nov05,57.36
29Nov05,56.5
30Nov05,57.32
01Dic05,58.47
02Dic05,59.32
05Dic05,59.91
06Dic05,59.94
07Dic05,59.21
08Dic05,60.66
09Dic05,59.39
12Dic05,61.3
13Dic05,61.37
14Dic05,60.85
15Dic05,59.99
16Dic05,58.06
19Dic05,57.34
20Dic05,57.98
21Dic05,58.31
22Dic05,58.03
23Dic05,58.23
26Dic05,n.d.
27Dic05,58.16
28Dic05,59.82
29Dic05,60.32
30Dic05,61.04
02Ene06,n.d.
03Ene06,63.14
04Ene06,63.42
05Ene06,62.79
06Ene06,64.21
09Ene06,63.5
10Ene06,63.37
11Ene06,63.94
12Ene06,63.94
13Ene06,63.92
16Ene06,n.d.
17Ene06,66.31
18Ene06,65.73
19Ene06,66.83
20Ene06,68.35
23Ene06,67.84
24Ene06,66.74
25Ene06,65.35
26Ene06,66.26
27Ene06,67.76
30Ene06,68.35
31Ene06,67.92
01Feb06,66.56
02Feb06,64.68
03Feb06,65.37
06Feb06,65.11
07Feb06,63.09
08Feb06,62.55
09Feb06,62.62
10Feb06,61.84
13Feb06,61.24
14Feb06,59.57
15Feb06,57.65
16Feb06,58.46
17Feb06,59.88
20Feb06,n.d.
21Feb06,61.1
22Feb06,58.01
23Feb06,58.29
24Feb06,62.26
27Feb06,61
28Feb06,60.35
01Mar06,61.97
02Mar06,63.36
03Mar06,63.67
06Mar06,62.41
07Mar06,61.58
08Mar06,60.02
09Mar06,60.47
10Mar06,60.05
13Mar06,61.77
14Mar06,63.1
15Mar06,62.17
16Mar06,63.58
17Mar06,62.77
20Mar06,60.42
21Mar06,60.57
22Mar06,60.82
23Mar06,63.41
24Mar06,63.95
27Mar06,64.16
28Mar06,66.07
29Mar06,66.45
30Mar06,67.15
31Mar06,66.63
03Abr06,66.74
04Abr06,66.23
05Abr06,66.07
06Abr06,67.94
07Abr06,66.7
10Abr06,68.74
11Abr06,68.98
12Abr06,68.62
13Abr06,69.32
14Abr06,n.d.
17Abr06,70.4
18Abr06,71.35
19Abr06,72.17
20Abr06,71.95
21Abr06,73.67
24Abr06,69.08
25Abr06,66.88
26Abr06,71.93
27Abr06,70.97
28Abr06,71.88
01May06,73.7
02May06,74.61
03May06,72.28
04May06,69.94
05May06,70.19
08May06,69.77
09May06,70.69
10May06,72.13
11May06,73.32
12May06,72.04
15May06,69.41
16May06,69.53
17May06,68.9
18May06,69.45
19May06,68.53
22May06,69.23
23May06,71.13
24May06,69.71
25May06,71.07
26May06,71.37
29May06,71.37
30May06,72.03
31May06,71.29
01Jun06,70.34
02Jun06,72.33
05Jun06,72.6
06Jun06,72.5
07Jun06,70.82
08Jun06,70.35
09Jun06,71.63
12Jun06,70.36
13Jun06,68.56
14Jun06,69.14
15Jun06,69.5
16Jun06,69.88
19Jun06,68.98
20Jun06,68.94
21Jun06,70.03
22Jun06,70.49
23Jun06,70.69
26Jun06,71.8
27Jun06,71.92
28Jun06,72.19
29Jun06,73.52
30Jun06,73.93
03Jul06,73.93
04Jul06,73.93
05Jul06,75.19
06Jul06,75.14
07Jul06,74.09
10Jul06,73.61
11Jul06,74.16
12Jul06,74.95
13Jul06,76.7
14Jul06,77.03
17Jul06,75.3
18Jul06,73.54
19Jul06,72.66
20Jul06,73.08
21Jul06,74.06
24Jul06,74.65
25Jul06,73.4
26Jul06,73.94
27Jul06,74.54
28Jul06,73.24
31Jul06,74.4
01Ago06,74.91
02Ago06,75.81
03Ago06,75.46
04Ago06,74.76
07Ago06,76.98
08Ago06,76.31
09Ago06,76.35
10Ago06,74
11Ago06,74.35
14Ago06,73.53
15Ago06,73.05
16Ago06,71.89
17Ago06,70.06
18Ago06,71.14
21Ago06,72.45
22Ago06,72.63
23Ago06,71.41
24Ago06,71.99
25Ago06,72.13
28Ago06,70.61
29Ago06,69.85
30Ago06,70.03
31Ago06,70.26
01Set06,69.19
04Set06,n.d.
05Set06,68.6
06Set06,67.5
07Set06,67.32
08Set06,66.25
11Set06,65.61
12Set06,63.76
13Set06,63.97
14Set06,63.22
15Set06,63.33
18Set06,63.8
19Set06,61.66
20Set06,60.46
21Set06,61.04
22Set06,60.08
25Set06,60.95
26Set06,61.01
27Set06,62.96
28Set06,62.76
29Set06,62.91
02Oct06,61.03
03Oct06,58.68
04Oct06,59.1
05Oct06,60.03
06Oct06,59.76
09Oct06,59.96
10Oct06,58.52
11Oct06,57.59
12Oct06,57.86
13Oct06,58.57
16Oct06,59.94
17Oct06,58.93
18Oct06,57.65
19Oct06,58.5
20Oct06,56.82
23Oct06,57.06
24Oct06,57.1
25Oct06,59.1
26Oct06,60.36
27Oct06,60.75
30Oct06,58.36
31Oct06,58.73
01Nov06,58.71
02Nov06,57.88
03Nov06,59.14
06Nov06,60.02
07Nov06,59.3
08Nov06,59.83
09Nov06,61.16
10Nov06,59.59
13Nov06,58.58
14Nov06,58.28
15Nov06,58.76
16Nov06,56.26
17Nov06,55.81
20Nov06,56.3
21Nov06,58.02
22Nov06,58.44
23Nov06,n.d.
24Nov06,n.d.
27Nov06,60.32
28Nov06,60.99
29Nov06,62.46
30Nov06,63.13
01Dic06,63.43
04Dic06,62.44
05Dic06,62.43
06Dic06,62.19
07Dic06,62.49
08Dic06,62.03
11Dic06,61.22
12Dic06,61.02
13Dic06,61.37
14Dic06,62.51
15Dic06,63.43
18Dic06,62.21
19Dic06,63.15
20Dic06,63.12
21Dic06,62.06
22Dic06,61.86
25Dic06,n.d.
26Dic06,61.1
27Dic06,60.34
28Dic06,60.53
29Dic06,61.05
01Ene07,n.d.
02Ene07,n.d.
03Ene07,58.32
04Ene07,55.59
05Ene07,56.31
08Ene07,56.09
09Ene07,55.64
10Ene07,54.02
11Ene07,51.88
12Ene07,52.99
15Ene07,n.d.
16Ene07,51.21
17Ene07,52.24
18Ene07,50.48
19Ene07,51.99
22Ene07,51.13
23Ene07,54.02
24Ene07,54.72
25Ene07,53.63
26Ene07,55.42
29Ene07,54.01
30Ene07,56.97
31Ene07,58.14
01Feb07,57.3
02Feb07,59.02
05Feb07,58.74
06Feb07,58.88
07Feb07,57.71
08Feb07,59.71
09Feb07,59.89
12Feb07,57.81
13Feb07,59.06
14Feb07,58
15Feb07,57.99
16Feb07,59.39
19Feb07,n.d.
20Feb07,58.07
21Feb07,59.47
22Feb07,59.55
23Feb07,60.52
26Feb07,61.39
27Feb07,61.46
28Feb07,61.79
01Mar07,62
02Mar07,61.64
05Mar07,60.07
06Mar07,60.69
07Mar07,61.82
08Mar07,61.64
09Mar07,60.05
12Mar07,58.91
13Mar07,57.93
14Mar07,58.16
15Mar07,57.55
16Mar07,57.11
19Mar07,56.59
20Mar07,56.73
21Mar07,58.31
22Mar07,60.69
23Mar07,61.53
26Mar07,62.91
27Mar07,62.93
28Mar07,64.08
29Mar07,66.03
30Mar07,65.87
02Abr07,65.94
03Abr07,64.64
04Abr07,64.38
05Abr07,64.28
06Abr07,n.d.
09Abr07,61.51
10Abr07,61.89
11Abr07,62.01
12Abr07,63.85
13Abr07,63.63
16Abr07,63.61
17Abr07,63.1
18Abr07,63.13
19Abr07,61.83
20Abr07,63.38
23Abr07,65.34
24Abr07,64.1
25Abr07,64.88
26Abr07,65.06
27Abr07,66.46
30Abr07,65.71
01May07,64.4
02May07,63.68
03May07,63.19
04May07,61.93
07May07,61.47
08May07,62.26
09May07,61.55
10May07,61.81
11May07,62.37
14May07,62.46
15May07,63.17
